KIC,Porb,sol,chi_fit,window,dur1,dur2,ecc
5887316,0.603,[ 0.00093319  0.15412445  0.00945115  0.00038874 -0.14840949  0.00902644],1798.1206076918986,11.0,0.0584124762543635,0.055787614297069,0.0231420316442843
5955321,11.638,[ 0.44773028 -0.39738872  0.03499702  0.4379841   5.37289636  0.10025165],28070.84430460721,31.0,0.2162978420824091,0.6196017875833331,0.482523714008878
6029130,12.592,[ 0.30769871  3.2299832   0.04783773  0.25574303 -2.97704761  0.04897359],32047.187857049143,11.0,0.2956593912271579,0.3026795218018288,0.0161503318845869
6058875,1.13,[ 0.25680268 -0.27065237  0.02188852  0.21903217  0.29451141  0.02144935],502429.4958204898,21.0,0.1352811984947498,0.1325669351627432,0.0101361477772686
6060580,2.313,[ 0.01277901  1.09560766  0.02345405  0.00524183 -0.06128456  0.02300694],1582.4361903704998,21.0,0.1449569124208616,0.1421935924736044,0.0096269316610596
6103049,0.643,[ 0.03671323 -0.26095     0.01854526  0.02449192  0.06180192  0.01570409],78602.46859575721,21.0,0.1146183466029661,0.0970585721388408,0.0830119034122909
6128027,5.456,[ 0.10514919 -0.06166035  0.02636466  0.00400428  2.64897822  0.01796206],2636.357551856484,11.0,0.1629458431749944,0.1110138906303239,0.1896264190737333
6128141,1.873,"[ 1.36297754e-03 -6.62190206e-01  1.35053195e-02  5.88258765e-04
  2.76380761e-01  1.17019939e-02]",1296.9216911382775,11.0,0.0834691495278974,0.0723237589082239,0.071560861353786
6185717,11.702,"[ 2.97090848e-02 -3.78355437e+00  2.60956116e-02  6.92204991e-04
  2.47743726e+00  1.58353787e-02]",2383.435304681417,11.0,0.161283003836381,0.0978699975277281,0.2508059205524738
6191574,1.035,[ 0.06326369  0.36161416  0.01493934  0.01134981 -0.15811922  0.01116131],227944.79139450483,11.0,0.0923320748542412,0.0689821066257461,0.1447880718926156
6227560,4.804,[ 0.03828319  2.29176295  0.02023355  0.01352617 -0.11184112  0.01745771],4737.221659648387,11.0,0.125052758440268,0.1078967628959993,0.0736487051298355
6231401,6.092,[ 0.03694296 -0.01646043  0.03333657  0.01931483 -2.97364769  0.0326867 ],3387.069751239408,11.0,0.2060354940502141,0.2020190159781361,0.024925769918645
6268722,2.638,[ 0.05014025 -0.72674657  0.02302152  0.00249984  0.5929789   0.02099057],7609.754311657428,21.0,0.1422837031982295,0.1297314541901206,0.0461474247033805
6286161,14.542,[ 0.1588314  -1.56582339  0.05274898  0.06383487  5.1195186   0.08667394],11029.077367076923,41.0,0.3260132004861313,0.5356852076214889,0.2514133074008824
6312521,3.016,[ 0.09284859  0.67871403  0.02814624  0.04708965 -0.82920956  0.02791682],6263.328132084114,51.0,0.1739568564366571,0.1725389012689882,0.0040924663393926
6359798,14.154,[ 0.06176761  6.0045218   0.04049287  0.02435863 -4.67190869  0.03772266],3014.3741356450946,11.0,0.2502647582258319,0.2331435486155673,0.4010281430002209
6387450,3.661,[ 0.01816885  0.09813632  0.0265299   0.00271426 -1.73373477  0.02683988],4080.4545060730456,31.0,0.1639671012806505,0.1658829300844617,0.0058378974719613
6421483,2.158,[ 0.07856594  0.57936173  0.04778923  0.00703051 -0.5018479   0.03293178],334764.6794776964,21.0,0.2953596705405838,0.2035337181961625,0.1840662959814219
6443392,0.777,[ 0.02239141  0.08059793  0.01824407  0.01142412 -0.30852907  0.0161686 ],23768.737657924477,31.0,0.112756826559232,0.0999294786516737,0.0603244319813532
6452742,1.376,[ 0.04820099 -0.33939728  0.02271653  0.03053016  0.34916535  0.02251029],23825.65287915003,21.0,0.1403987288939163,0.1391240414708219,0.004605236227796
6466939,2.286,[ 0.44209869  0.38794805  0.02882974  0.35405725 -0.75528293  0.02849984],251950.0144777069,41.0,0.1781812162004205,0.1761422797480982,0.0057566372036813
6468938,7.217,[ 0.08121781  0.47986166  0.04046373  0.06602871 -3.28791824  0.03978873],10947.948681722046,11.0,0.250084629426144,0.2459128144646509,0.0356733621385099
6516874,0.916,[ 0.07202338  0.28594078  0.02238567  0.05358793 -0.17192352  0.01910726],707761.6662359599,21.0,0.1383538668267623,0.1180917234652165,0.0790118138333467
6521542,4.426,[ 0.40500797  1.16900718  0.03971612  0.36684846 -1.04386212  0.03994731],191263.54748331624,11.0,0.2454640608916656,0.2468929193739125,0.0029024489519097
6525196,3.421,[ 0.17110249  0.81361134  0.03495659  0.15631699 -0.89697512  0.03503354],1787997.5564623235,61.0,0.2160479622295954,0.2165235399746345,0.0011001364629019
6548447,10.768,[ 0.08620534  1.67530918  0.11385782  0.07088672 -4.42820565  0.11312234],760376.066217298,11.0,0.7036942458034008,0.6991486121073134,0.1050101883102971
6591789,5.088,[ 0.38984857 -2.24377972  0.04019937  0.11364297  0.25728358  0.04175745],98118.9884791059,71.0,0.2484507699301339,0.2580804544414671,0.0231761120839583
6606282,2.107,[ 0.00407594  0.92597647  0.01599823  0.00253225 -0.12749187  0.01614771],2444.058200933864,31.0,0.0988765199903027,0.0998003590642837,0.0046500175481606
6620003,3.429,[ 0.02937853 -1.62698502  0.0189877   0.02728056  0.08787706  0.01913123],4514.577417851946,11.0,0.1173528051306282,0.1182398660414417,0.0037688829585993
6629332,4.311,[ 0.02131437  2.06276941  0.02033776  0.02145434 -0.09277986  0.02042688],2394.875817225616,11.0,0.1256968198911963,0.1262476078307685,0.0021862222436063
6694186,5.554,"[ 1.60327808e-01 -2.03857102e+00  4.79729569e-02  1.29752068e-03
  8.18875220e-01  1.44921704e-02]",394373.1414107036,11.0,0.296495162533515,0.0895683462848191,0.5364743241356799
6695889,1.107,[ 0.24646927 -0.25110591  0.0229722   0.06105073  0.30230181  0.01968257],364182.2055435208,21.0,0.1419788416398513,0.1216474033073135,0.0771223200483477
6697716,1.443,[ 0.20092887 -0.37161588  0.02214377  0.10796318  0.350741    0.02187166],214823.43380766385,31.0,0.1368587613021908,0.1351770164261946,0.0062520469278921
6706287,2.535,[ 0.40358025 -0.65658644  0.03056057  0.27788208  0.61024782  0.03027859],1477939.5463264645,21.0,0.188878525232804,0.1871357249949383,0.0046532527702034
6707942,9.014,"[ 3.55297287e-02 -2.47503658e+00  2.67124366e-02  4.49323705e-04
  1.56310153e+00  1.60485032e-02]",11479.19035810298,11.0,0.1650952693423457,0.0991872063418162,0.2624280872883879
