KIC,est_ecc,cat_ecc
8460600,0.6129262574424712,0.507331615908175
8479107,0.0389053646553176,0.6175086154054856
8479386,0.0098570843215368,0.029666479400158017
8543278,0.0222644936151473,0.4772639070786728
8552540,0.3063923571296198,0.03321105990479677
8580438,0.1388255672978219,0.3907481687737001
8581658,0.0326401307856627,0.040559391021069334
8590527,0.2074500487704539,0.0540923109138443
8604993,0.0256934220350541,0.536879978859335
8618226,0.0097421216448996,0.044436094562866346
8621026,0.0138771372635593,0.04424850279952984
8719897,0.0414451933158597,0.13931547509160638
8736245,0.0222841933054402,0.3059964146848783
8746310,0.0325811969358551,0.43724353774527075
8784288,0.0154450737883593,0.04900686992657254
8848271,0.2987570157848931,0.563129081117287
8879915,0.0128526867340101,0.11781068415046235
8906676,0.0013624837034158,0.11468447584568715
8938628,0.0031142705815812,0.017403919098869656
8939650,0.0042386783962011,0.410461919914625
8940961,0.0210828083664159,0.5519984816102306
8953426,0.0020722532484855,0.5270082618896975
8957954,0.0005839341946179,0.028584396092973523
8984706,0.0170267669114638,0.40967384929965933
9005854,0.0383329804761869,0.16307999417463812
9020426,0.0182201912290086,0.01654236984231703
9029486,0.0001574725102916,0.019566535206826986
9084778,0.048369448002092,0.3526164675678094
9098810,0.1580509081071066,0.14897698379279936
9137992,0.0731411262638415,0.18297130376099963
9143254,0.0191134540265775,0.5418040004466559
9210828,0.0118825792851296,0.08837237690590878
9266285,0.0062860607474927,0.07946825592650188
9346655,0.0816200612198593,0.6590706028947126
9353182,0.0374966780364371,0.10333283408481546
9411943,0.0158644347513232,0.39524707462548037
9412462,0.0422569334745347,0.5824036169187139
9451127,0.1358059882787196,0.4432152136377992
9468296,0.0590262429737348,0.71272857245939
9474485,0.0066103668850415,0.12575300592828786
9540450,0.0013121467571821,0.016644212207250906
9569866,0.0717093551472158,0.16847420930219556
9576197,0.0693974972062037,0.7411269997780408
9579499,0.128101504444523,0.38715491950897385
9596187,0.0351527467917604,0.15609194021473372
9597095,0.0499004994120729,0.044575446155927595
9635529,0.0027728198441546,0.0677451489038145
9637299,0.0020191332375239,0.037527656468263504
9641031,0.0056365600718978,0.009162641540516577
9664215,0.0630514089512788,0.5464808761521303
9714358,0.0178265414224777,0.43183994546590987
9761199,0.0428064851146656,0.5790114171585912
9762519,0.03808747703503,0.48856398199212353
9821078,0.0046484530520715,0.16193256528567687
9873869,0.0013035354671444,0.05831285021331062
9881258,0.0074863561170251,0.04021677883669949
9934208,0.1317778053339802,0.10842415644126542
9940565,0.0057734067354968,0.7333553439499845
9944201,0.0165724107608158,0.49603058181930676
9944421,0.1168119404286408,0.46783954215093876
9945280,0.0469673485199734,0.6741593041707575
9966115,0.0194935865679761,0.294338037637
9971475,0.0010078264340373,0.0918024972427221
